"id","slug","nombre","orden"
"1","salud","Salud","1"
"2","ambiente","Ambiente","2"
"3","vialidad","Infraestructura y vialidad","3"
"4","educacion","Educación","4"
"5","genero","Género e igualdad","5"
"6","seguridad","Seguridad y justicia","6"
"7","economia","Economía y finanzas","7"
"8","vivienda","Vivienda y territorio","8"
"9","desarrollo-social","Desarrollo social","9"
"10","pensiones","Pensiones y trabajo","10"
"11","derechos-humanos","Derechos humanos","11"
"12","agricultura","Agricultura y agroindustria","12"
"13","cultura","Cultura y deporte","13"
"14","tecnologia","Tecnología e innovación","14"
"15","institucional","Institucional y reforma legal","15"
