"id","proyecto_id","secuencia","apellidos","nombre"
"1","1","1","","ALPÍZAR LOAIZA LUZ MARY"
"2","1","2","","PADILLA BONILLA MARÍA MARTA"
"3","1","3","","ALVARADO BOGANTES HORACIO"
"4","1","4","","ROJAS SALAS MARÍA DANIELA"
"5","1","5","","CAMBRONERO AGUILUZ KATTIA"
"6","1","6","","ROJAS GUZMÁN PEDRO"
"7","1","7","","CÓRDOBA SERRANO CYNTHIA MARITZA"
"8","1","8","","NAVAS MONTERO GLORIA ZAIDE"
"9","1","9","","VINDAS SALAZAR PRISCILLA"
"10","1","10","","ROBLES BARRANTES ANDRÉS ARIEL"
"11","1","11","","ALFARO MOLINA ROCIO"
"12","1","12","","ORTEGA GUTIÉRREZ ANTONIO JOSÉ"
"13","1","13","","ACUÑA SOTO JOHNATAN JESÚS"
"14","1","14","","CASTRO MORA VANESSA DE PAUL"
"15","2","1","","ALPÍZAR LOAIZA LUZ MARY"
"16","2","2","","CASTRO MORA VANESSA DE PAUL"
"17","2","3","","MÉNDEZ GAMBOA ROSAURA"
"18","2","4","","ALFARO MOLINA ROCIO"
"19","2","5","","CÓRDOBA SERRANO CYNTHIA MARITZA"
"20","2","6","","NAVAS MONTERO GLORIA ZAIDE"
"21","2","7","","VINDAS SALAZAR PRISCILLA"
"22","2","8","","ROBLES BARRANTES ANDRÉS ARIEL"
"23","2","9","","ORTEGA GUTIÉRREZ ANTONIO JOSÉ"
"24","2","10","","ACUÑA SOTO JOHNATAN JESÚS"
"25","2","11","","MOREIRA BROWN KATHERINE ANDREA"
"26","2","12","","RAMÍREZ PORTUGUEZ PAULINA MARÍA"
"27","2","13","","RIVERA SOTO KATTIA"
"28","2","14","","ROJAS GUZMÁN PEDRO"
"29","3","1","","PADILLA BONILLA MARÍA MARTA"
"30","3","2","","ROJAS GUZMÁN PEDRO"
"31","3","3","","VALVERDE MÉNDEZ GEISON ENRIQUE"
"32","3","4","","SALAS DURÁN YONDER ANDREY"
"33","3","5","","CAMBRONERO AGUILUZ KATTIA"
"34","3","6","","ALPÍZAR LOAIZA LUZ MARY"
"35","3","7","","ALVARADO BOGANTES HORACIO"
"36","3","8","","ROBLES BARRANTES ANDRÉS ARIEL"
"37","3","9","","CÓRDOBA SERRANO CYNTHIA MARITZA"
"38","3","10","","VARGAS QUIRÓS DANIEL GERARDO"
"39","4","1","","JIMÉNEZ SILES GILBERTH"
"40","5","1","","GARCIA MOLINA CARLOS FELIPE"
"41","6","1","","ACUÑA SOTO JOHNATAN JESÚS"
"42","6","2","","ROBLES BARRANTES ANDRÉS ARIEL"
"43","7","1","","MORALES DÍAZ MANUEL ESTEBAN"
"44","7","2","","VARGAS QUIRÓS DANIEL GERARDO"
"45","7","3","","ACUÑA CASTRO ADA GABRIELA"
"46","7","4","","NÁJERA ABARCA PAOLA"
"47","7","5","","ROJAS LÓPEZ JORGE ANTONIO"
"48","7","6","","CISNEROS GALLO PILAR"
"49","7","7","","AGÜERO SANABRIA WALDO"
"50","7","8","","BARRANTES CHACÓN ALEXANDER"
"51","8","1","","ROBLES BARRANTES ANDRÉS ARIEL"
"52","9","1","","RIVERA SOTO KATTIA"
"53","10","1","","ROJAS LÓPEZ JORGE ANTONIO"
"54","11","1","","ORTEGA GUTIÉRREZ ANTONIO JOSÉ"
"55","11","2","","ROBLES BARRANTES ANDRÉS ARIEL"
"56","11","3","","ACUÑA SOTO JOHNATAN JESÚS"
"57","11","4","","VINDAS SALAZAR PRISCILLA"
"58","11","5","","ALFARO MOLINA ROCIO"
"59","11","6","","CAMBRONERO AGUILUZ KATTIA"
"60","11","7","","MORALES DÍAZ MANUEL ESTEBAN"
"61","11","8","","VARGAS SERRANO DANNY"
"62","11","9","","GUILLÉN PÉREZ SOFIA  ALEJANDRA"
"63","11","10","","LARIOS TREJOS ALEJANDRA"
"64","12","1","","IZQUIERDO SANDÍ OSCAR"
"65","12","2","","RAMÍREZ PORTUGUEZ PAULINA MARÍA"
"66","12","3","","MOREIRA BROWN KATHERINE ANDREA"
"67","12","4","","MÉNDEZ GAMBOA ROSAURA"
"68","12","5","","RIVERA SOTO KATTIA"
"69","12","6","","VARGAS SERRANO DANNY"
"70","12","7","","RUÍZ GUEVARA MONSERRAT"
"71","12","8","","NICOLÁS ALVARADO JOSE FRANCISCO"
"72","12","9","","HERNÁNDEZ ROJAS JOSE JOAQUÍN"
"73","12","10","","BARQUERO BARQUERO DINORAH CRISTINA"
"74","12","11","","LARIOS TREJOS ALEJANDRA"
"75","13","1","","MORALES DÍAZ MANUEL ESTEBAN"
"76","14","1","","GUILLÉN PÉREZ SOFIA  ALEJANDRA"
"77","14","2","","VINDAS SALAZAR PRISCILLA"
"78","14","3","","ALFARO MOLINA ROCIO"
"79","14","4","","ROBLES BARRANTES ANDRÉS ARIEL"
"80","14","5","","ACUÑA SOTO JOHNATAN JESÚS"
"81","14","6","","ORTEGA GUTIÉRREZ ANTONIO JOSÉ"
"82","15","1","","MORERA  ARRIETA OLGA LIDIA"
"83","15","2","","VARGAS RODRÍGUEZ LUIS DIEGO"
"84","15","3","","ALVARADO BOGANTES HORACIO"
"85","16","1","","MORERA  ARRIETA OLGA LIDIA"
"86","16","2","","VARGAS RODRÍGUEZ LUIS DIEGO"
"87","16","3","","ALVARADO BOGANTES HORACIO"
"88","17","1","","ACUÑA CASTRO ADA GABRIELA"
"89","17","2","","ALVARADO BOGANTES HORACIO"
"90","17","3","","MORERA  ARRIETA OLGA LIDIA"
