"proyecto_id","categoria_id"
"291","8"
"291","12"
"292","15"
"293","8"
"293","9"
"294","3"
"294","4"
"295","13"
"296","12"
"297","3"
"298","6"
"299","3"
"299","8"
"299","15"
"300","2"
"300","7"
"411","4"
"411","6"
"412","15"
"413","2"
"414","7"
"415","15"
"416","15"
"417","6"
"417","7"
"417","8"
"417","15"
"418","15"
"419","3"
"419","7"
"420","2"
"421","15"
"422","6"
"423","2"
"423","15"
"424","8"
"425","7"
"426","15"
"427","2"
"427","4"
"427","15"
"428","1"
"428","3"
"428","5"
"428","6"
"428","11"
"428","15"
"429","15"
"430","1"
"430","6"
"431","14"
"432","15"
"433","15"
"434","9"
"434","15"
"435","15"
"436","1"
"436","14"
"437","8"
"438","4"
"439","4"
"439","14"
"440","4"
"441","7"
"441","8"
"442","2"
"442","3"
"443","15"
"444","6"
"444","15"
"445","2"
"446","13"
"447","4"
"447","8"
"448","8"
"448","9"
"449","15"
"450","2"
"450","3"
"450","15"
"451","10"
"451","15"
"452","15"
"453","15"
"454","15"
"455","6"
"455","15"
"456","1"
"456","5"
"457","2"
"457","3"
"458","15"
"459","2"
"459","9"
"459","11"
"459","13"
"460","2"
"460","15"
"461","15"
"462","2"
"462","7"
"462","8"
"462","9"
"463","4"
"463","8"
"464","6"
"465","7"
"466","1"
"467","3"
"467","6"
"467","15"
"468","15"
"469","4"
"469","8"
"469","15"
"470","15"
"471","7"
"471","15"
"472","15"
"473","6"
"473","15"
"474","4"
"474","8"
"475","13"
"476","3"
"476","6"
"477","11"
"477","15"
"478","6"
"478","8"
"479","2"
"479","4"
"479","15"
"480","6"
"480","15"
"481","6"
"481","9"
"482","4"
"482","5"
"482","10"
"482","11"
"482","15"
"483","4"
"483","15"
"484","15"
"485","8"
"485","9"
"486","8"
"486","9"
"487","4"
"487","6"
"487","15"
"488","14"
"489","10"
"489","15"
"490","9"
"491","8"
"491","13"
"492","15"
"493","9"
"493","15"
"494","2"
"495","15"
"496","1"
"496","6"
"497","6"
"498","9"
"499","3"
"500","15"
"501","15"
"101","9"
"101","12"
"101","15"
"102","2"
"102","13"
"103","1"
"103","11"
"103","15"
"104","15"
"105","3"
"105","15"
"106","1"
"106","4"
"106","9"
"106","15"
"107","15"
"108","3"
"108","7"
"109","15"
"110","15"
"111","6"
"111","15"
"112","2"
"113","15"
"114","2"
"114","4"
"114","9"
"114","11"
"115","2"
"115","6"
"115","15"
"116","4"
"116","7"
"117","4"
"117","8"
"117","9"
"118","5"
"118","9"
"118","11"
"118","15"
"119","2"
"119","4"
"119","8"
"119","15"
"120","2"
"120","13"
"121","2"
"122","2"
"122","3"
"122","8"
"122","9"
"123","15"
"124","9"
"125","15"
"126","4"
"127","7"
"127","15"
"128","3"
"128","7"
"129","15"
"130","6"
"131","4"
"131","7"
"131","15"
"132","15"
"133","15"
"134","15"
"135","6"
"135","15"
"136","15"
"137","8"
"137","15"
"138","13"
"139","15"
"140","8"
"140","15"
"141","1"
"141","8"
"141","9"
"142","8"
"143","15"
"144","3"
"144","15"
"145","15"
"146","7"
"146","15"
"147","2"
"148","1"
"148","7"
"148","8"
"148","9"
"148","10"
"149","9"
"150","1"
"150","2"
"150","11"
"151","15"
"152","6"
"152","15"
"153","3"
"153","4"
"154","6"
"154","15"
"155","2"
"155","7"
"155","15"
"156","6"
"156","13"
"156","14"
"157","1"
"157","5"
"157","11"
"158","15"
"159","13"
"160","8"
"161","5"
"161","6"
"161","7"
"161","11"
"161","12"
"162","5"
"163","6"
"163","15"
"164","4"
"165","9"
"166","5"
"166","6"
"166","15"
"167","15"
"168","4"
"168","8"
"168","13"
"169","15"
"170","5"
"170","6"
"170","14"
"170","15"
"171","7"
"171","15"
"172","7"
"173","1"
"173","11"
"174","4"
"175","6"
"175","15"
"176","15"
"177","15"
"178","6"
"178","15"
"179","4"
"179","14"
"179","15"
"180","1"
"180","4"
"180","8"
"180","9"
"181","6"
"181","15"
"182","15"
"183","15"
"184","6"
"185","13"
"186","4"
"186","8"
"187","1"
"187","11"
"188","15"
"189","15"
"190","15"
"191","2"
"191","4"
"191","12"
"191","15"
"192","8"
"193","6"
"194","3"
"195","15"
"196","3"
"196","11"
"197","7"
"198","6"
"198","15"
"199","15"
"200","2"
"201","7"
"202","6"
"202","7"
"202","15"
"203","2"
"204","8"
"204","15"
"205","2"
"205","12"
"206","8"
"207","15"
"208","12"
"209","6"
"209","15"
"210","15"
"211","3"
"211","15"
"212","11"
"213","15"
"214","12"
"215","15"
"216","15"
"217","6"
"217","15"
"218","1"
"218","4"
"218","15"
"219","15"
"220","7"
"221","2"
"222","8"
"223","10"
"224","9"
"224","15"
"225","8"
"226","7"
"226","15"
"227","15"
"228","2"
"228","6"
"228","11"
"228","15"
"229","1"
"229","15"
"230","15"
"231","15"
"232","11"
"232","13"
"233","15"
"234","6"
"234","15"
"235","7"
"236","14"
"237","15"
"238","8"
"239","9"
"239","11"
"240","15"
"241","2"
"241","8"
"242","15"
"243","15"
"244","2"
"244","3"
"245","10"
"245","13"
"246","15"
"247","4"
"247","13"
"248","15"
"249","15"
"250","6"
"250","9"
"251","6"
"251","15"
"252","1"
"252","6"
"252","15"
"253","15"
"254","2"
"254","9"
"255","15"
"256","4"
"256","9"
"256","13"
"256","14"
"257","3"
"257","8"
"257","9"
"257","15"
"258","15"
"259","13"
"260","6"
"260","15"
"261","15"
"262","15"
"263","15"
"264","2"
"264","7"
"264","12"
"264","13"
"265","15"
"266","2"
"266","5"
"266","13"
"267","14"
"268","10"
"268","11"
"268","15"
"269","9"
"270","15"
"271","2"
"271","8"
"271","13"
"271","15"
"272","2"
"272","7"
"273","15"
"274","7"
"275","15"
"276","15"
"277","15"
"278","15"
"279","15"
"280","6"
"280","14"
"280","15"
"281","13"
"282","13"
"283","15"
"284","6"
"284","15"
"285","15"
"286","6"
"287","2"
"287","3"
"288","15"
"289","15"
"290","7"
"290","15"
"1081","15"
"1","15"
"2","5"
"2","15"
"3","7"
"3","12"
"4","1"
"4","9"
"4","15"
"5","1"
"5","8"
"5","9"
"6","6"
"6","8"
"6","15"
"100","4"
"100","13"
"100","15"
"502","15"
"503","2"
"503","7"
"503","8"
"504","2"
"504","7"
"505","15"
"506","8"
"506","15"
"507","6"
"507","8"
"508","7"
"508","15"
"509","7"
"509","14"
"509","15"
"510","6"
"511","7"
"511","15"
"512","6"
"512","15"
"513","1"
"513","2"
"513","4"
"513","6"
"513","7"
"513","11"
"513","15"
"514","15"
"515","15"
"516","15"
"517","8"
"517","13"
"518","1"
"518","9"
"518","15"
"519","6"
"519","7"
"519","14"
"520","8"
"521","15"
"522","3"
"523","15"
"524","15"
"525","2"
"525","15"
"526","12"
"527","4"
"528","3"
"529","3"
"529","9"
"529","15"
"530","2"
"530","6"
"531","6"
"531","14"
"531","15"
"532","6"
"532","14"
"532","15"
"533","2"
"533","15"
"534","5"
"535","2"
"535","5"
"535","9"
"535","11"
"535","15"
"536","15"
"537","15"
"538","3"
"539","8"
"540","2"
"541","13"
"542","2"
"542","7"
"543","15"
"544","3"
"545","2"
"545","6"
"545","9"
"546","1"
"546","2"
"546","4"
"547","6"
"548","1"
"548","4"
"548","9"
"549","15"
"550","7"
"551","3"
"551","6"
"552","4"
"552","6"
"552","7"
"552","8"
"553","5"
"553","15"
"554","7"
"555","2"
"555","6"
"555","15"
"556","4"
"556","7"
"556","8"
"557","5"
"557","15"
"558","15"
"559","15"
"560","2"
"561","15"
"562","2"
"563","7"
"564","7"
"565","4"
"565","8"
"565","13"
"566","15"
"567","6"
"568","2"
"568","15"
"569","2"
"570","15"
"571","13"
"571","14"
"571","15"
"572","2"
"572","3"
"572","15"
"573","15"
"574","2"
"575","3"
"576","15"
"577","15"
"578","2"
"579","5"
"580","2"
"580","3"
"580","15"
"581","7"
"581","8"
"581","9"
"582","14"
"583","15"
"584","8"
"584","9"
"585","9"
"585","15"
"586","2"
"587","2"
"587","4"
"587","7"
"587","8"
"588","2"
"589","2"
"590","2"
"590","14"
"591","4"
"591","6"
"591","9"
"591","11"
"592","11"
"593","15"
"594","7"
"594","8"
"594","15"
"595","7"
"595","15"
"596","4"
"596","6"
"597","13"
"598","9"
"599","15"
"600","1"
"600","6"
"600","15"
"601","15"
"602","7"
"602","15"
"603","4"
"603","8"
"603","9"
"604","3"
"605","4"
"605","5"
"605","6"
"606","2"
"606","3"
"606","7"
"606","15"
"607","7"
"607","8"
"607","15"
"608","7"
"608","15"
"609","3"
"610","7"
"611","7"
"612","1"
"612","11"
"613","1"
"613","11"
"614","1"
"614","4"
"614","11"
"615","1"
"615","11"
"615","14"
"616","3"
"617","15"
"618","1"
"618","3"
"618","9"
"618","10"
"618","15"
"619","3"
"619","7"
"619","8"
"619","9"
"620","6"
"621","3"
"621","7"
"622","15"
"623","15"
"624","8"
"625","15"
"626","3"
"626","15"
"627","4"
"627","13"
"628","5"
"628","11"
"628","15"
"629","1"
"630","3"
"630","10"
"630","15"
"631","7"
"631","15"
"632","2"
"632","15"
"633","2"
"633","15"
"634","8"
"635","15"
"636","6"
"636","11"
"637","2"
"637","15"
"638","13"
"639","4"
"639","15"
"640","6"
"640","10"
"641","10"
"641","11"
"642","6"
"643","15"
"644","15"
"645","2"
"645","12"
"646","5"
"646","11"
"646","15"
"647","10"
"648","8"
"649","13"
"650","15"
"651","6"
"651","15"
"652","15"
"653","15"
"654","15"
"655","3"
"655","4"
"655","6"
"655","7"
"655","15"
"656","15"
"657","7"
"657","9"
"658","15"
"659","15"
"660","15"
"661","15"
"662","1"
"662","2"
"662","7"
"662","9"
"662","10"
"662","15"
"663","2"
"663","3"
"663","6"
"663","14"
"664","2"
"664","15"
