"id","numero_expediente","titulo","tipo_expediente","fecha_inicio","vencimiento_cuatrienal","fecha_publicacion","numero_gaceta","numero_ley","creado_en"
"18","25474","ADICIÓN DE UN ARTÍCULO 41 BIS DEL REGLAMENTO DE LA ASAMBLEA LEGISLATIVA PARA ESTABLECER SESIONES DEL PLENARIO DESTINADAS AL CONOCIMIENTO DE PROYECTOS DE LEY EN MATERIA MUNICIPAL","PROCEDIMIENTO REFORMAS AL REGLAMENTO DE LA ASAMBLEA LEGISLATIVA","2026-04-06","2030-04-06","","","","2026-04-10T05:14:48.326599"
"19","25473","APROBACIÓN DEL TRATADO CONSTITUTIVO DE LA COMUNIDAD DE POLICÍAS DE AMÉRICA","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2026-03-27","2030-03-27","","","","2026-04-10T05:14:48.326599"
"21","25471","LEY DE CREACIÓN DEL ÍNDICE NACIONAL DE INFLACIÓN UNIVERSITARIA","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2026-03-26","2030-03-26","","","","2026-04-10T05:14:48.326599"
"22","25470","LEY GENERAL CONTRA LA OBESIDAD","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2026-03-26","2030-03-26","","","","2026-04-10T05:14:48.326599"
"23","25469","LEY PARA GARANTIZAR MATERNIDADES Y PETERNIDADES EN CONDICIONES DIGNAS, EN PROCURA DEL INTERÉS SUPERIOR DEL MENOR","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2026-03-26","2030-03-26","","","","2026-04-10T05:14:48.326599"
"24","25468","LEY DE LICENCIAS COMERCIALES DEL CANTÓN DE TIBÁS","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2026-03-26","2030-03-26","","","","2026-04-10T05:14:48.326599"
"25","25467","LEY PARA DESAFECTAR EL USO PÚBLICO DE AVENIDA 29 EN LA URBANIZACIÓN CARRANZA EN EL DISTRITO DE LA URUCA EN EL CANTÓN DE SAN JOSÉ Y AFECTACIÓN A UN NUEVO USO DE PARQUE INFANTIL Y FACILIDADES COMUNALES","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2026-03-26","2030-03-26","","","","2026-04-10T05:14:48.326599"
"26","25466","MUTACIÓN DEMANIAL Y AUTORIZACIÓN AL INSTITUTO DE VIVIENDA Y URBANISMO (INVU) PARA QUE DONE TERRENOS DE SU PROPIEDAD A LA MUNICIPALIDAD DE SAN JOSÉ.","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2026-03-25","2030-03-25","","","","2026-04-10T05:14:48.326599"
"27","25465","REFORMA AL ARTÍCULO 67 DE LA LEY GENERAL DE ARRENDAMIENTOS URBANOS Y SUBURBANOS, NO. 7527 DE 10 DE JULIO DE 1995.","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2026-03-25","2030-03-25","","","","2026-04-10T05:14:48.326599"
"28","25464","ADICIÓN DE INCISOS FINALES EN LOS ARTÍCULOS 1 Y 7 DE LA LEY NACIONAL DE SALUD MENTAL, LEY 10412 DEL 29 DE NOVIEMBRE DE 2023 PARA INCLUIR LA TUTELA DE LA SALUD CEREBRAL","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2026-03-25","2030-03-25","","","","2026-04-10T05:14:48.326599"
"29","25463","LEY MARCO DE ADAPTACIÓN Y MITIGACIÓN FRENTE A LA CRISIS CLIMÁTICA Y AMBIENTAL PLANETARIA","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2026-03-25","2030-03-25","","","","2026-04-10T05:14:48.326599"
"30","25462","REFORMA Y ADICIÓN DE VARIOS ARTÍCULOS A LA LEY DE TRÁNSITO POR VÍAS PÚBLICAS TERRESTRES Y SEGURIDAD VIAL NÚMERO 9078 DEL 4 DE OCTUBRE DEL 2012, PARA MEJORAR EL ORDENAMIENTO VIAL, LA PROTECCIÓN DE SERVICIOS DE SOCORRO Y SEGURIDAD JURÍDICA DIGITAL","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2026-03-25","2030-03-25","","","","2026-04-10T05:14:48.326599"
"31","25461","REFORMA A LA LEY DE ARMAS Y EXPLOSIVOS NO.7530 DEL 10 DE JULIO DE 1985, PARA LA MODERNIZACIÓN DE INSCRIPCIÓN, PORTACIÓN Y SANCIONES","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2026-03-24","2030-03-24","","","","2026-04-10T05:14:48.326599"
"32","25460","REFORMA DEL ARTÍCULO 106 TER DEL CÓDIGO DE NORMAS Y PROCEDIMIENTOS TRIBUTARIOS, LEY N.° 4755, DE 3 DE MAYO DE 1971, Y SUS REFORMAS","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2026-03-24","2030-03-24","","","","2026-04-10T05:14:48.326599"
"33","25459","LEY PARA PROMOVER EL DESARROLLO LOCAL DE COMUNIDADES MEDIANTE LA REGULACIÓN DE LA COMPENSACIÓN DE TERRENOS ADQUIRIDOS CON RECURSOS DEL FONDO DE DESARROLLO SOCIAL Y ASIGNACIONES FAMILIARES (FODESAF) ENTRE EL INSTITUTO DE DESARROLLO RURAL (INDER) Y EL MINISTERIO DE TRABAJO Y SEGURIDAD SOCIAL (MTSS)","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2026-03-24","2030-03-24","","","","2026-04-10T05:14:48.326599"
"34","25458","LEY PARA EL FORTALECIMIENTO DEL RÉGIMEN DE INVALIDEZ, VEJEZ Y MUERTE","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2026-03-24","2030-03-24","","","","2026-04-10T05:14:48.326599"
"35","25457","LEY DE CREACIÓN DE LA RUTA DEL CAFÉ","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2026-03-19","2030-03-19","2026-04-06","61","","2026-04-10T05:14:48.326599"
"36","25456","LEY PARA LA CREACIÓN Y REGULACIÓN DEL SISTEMA MUNICIPAL DE TRANSPORTE PÚBLICO INTERDISTRITAL","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2026-03-19","2030-03-19","2026-04-06","61","","2026-04-10T05:14:48.326599"
"37","25455","LEY SOBRE MUERTE DIGNA DE PACIENTES EN ESTADO TERMINAL","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2026-03-19","2030-03-19","2026-04-06","61","","2026-04-10T05:14:48.326599"
"38","25454","REFORMA A LA LEY GENERAL DE CONCESIÓN DE OBRAS PÚBLICAS CON SERVICIOS PÚBLICOS, LEY N.°7762.","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2026-03-18","2030-03-18","","","","2026-04-10T05:14:48.326599"
"39","25453","ADICIÓN DE UN NUEVO CAPÍTULO IX A LA LEY NACIONAL DE EMERGENCIAS Y PREVENCIÓN DEL RIESGO N°8488 DEL 22 DE NOVIEMBRE DE 2005, PARA MODERNIZAR LA GESTIÓN DE RIESGOS MEDIANTE EL SISTEMA NACIONAL DE ALERTAS TECNOLÓGICAS TEMPRANAS MÓVILES","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2026-03-18","2030-03-18","2026-04-06","61","","2026-04-10T05:14:48.326599"
"40","25452","LEY PARA MODERNIZAR EL CONCEPTO DE BOSQUE MEDIANTE LA REFORMA Y ADICIÓN DE VARIOS ARTÍCULOS A LA LEY FORESTAL N° 7575 DEL 13 DE FEBRERO DE 1996","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2026-03-18","2030-03-18","2026-04-06","61","","2026-04-10T05:14:48.326599"
"41","25451","REFORMA DE LA LEY FORESTAL, LEY N.º 7575, SUS REFORMAS Y REGLAMENTOS","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2026-03-17","2030-03-17","2026-04-08","63","","2026-04-10T05:14:48.326599"
