"id","proyecto_id","organo","fecha_inicio","fecha_termino","tipo_tramite"
"1","1","PLENARIO","2026-04-09","2026-04-09","PRESENTACIÓN DEL PROYECTO DE LEY"
"2","2","PLENARIO","2026-04-09","2026-04-09","PRESENTACIÓN DE LA PROPOSICIÓN"
"3","3","PARLAMENTARIOS","2026-04-09","2026-04-09","RECEPCION DEL PROYECTO EN SERVICIOS PARLAMENTARIOS"
"4","3","PLENARIO","2026-04-09","2026-04-09","PRESENTACIÓN DEL PROYECTO DE LEY"
"5","4","PARLAMENTARIOS","2026-04-09","2026-04-09","RECEPCION DEL PROYECTO EN SERVICIOS PARLAMENTARIOS"
"6","4","PLENARIO","2026-04-09","2026-04-09","PRESENTACIÓN DEL PROYECTO DE LEY"
"7","5","PARLAMENTARIOS","2026-04-09","2026-04-09","RECEPCION DEL PROYECTO EN SERVICIOS PARLAMENTARIOS"
"8","5","PLENARIO","2026-04-08","2026-04-08","PRESENTACIÓN DEL PROYECTO DE LEY"
"9","6","PARLAMENTARIOS","2026-04-09","2026-04-09","RECEPCION DEL PROYECTO EN SERVICIOS PARLAMENTARIOS"
"10","6","PLENARIO","2026-04-08","2026-04-08","PRESENTACIÓN DEL PROYECTO DE LEY"
"11","7","PARLAMENTARIOS","2026-04-08","2026-04-08","RECEPCION DEL PROYECTO EN SERVICIOS PARLAMENTARIOS"
"12","7","PLENARIO","2026-04-08","2026-04-08","PRESENTACIÓN DEL PROYECTO DE LEY"
"13","8","PARLAMENTARIOS","2026-04-08","2026-04-08","RECEPCION DEL PROYECTO EN SERVICIOS PARLAMENTARIOS"
"14","8","PLENARIO","2026-04-08","2026-04-08","PRESENTACIÓN DEL PROYECTO DE LEY"
"15","9","PLENARIO","2026-04-08","2026-04-08","PRESENTACIÓN DEL PROYECTO DE ACUERDO"
"16","10","PARLAMENTARIOS","2026-04-08","2026-04-08","RECEPCION DEL PROYECTO EN SERVICIOS PARLAMENTARIOS"
